No.,Lab No.,เลขที่รับ,Report No.,Received Date,Analysis Date,Report Date,Sample Code,Sample Name,Supplier,"Production Date
 / Lot",หน่วยงาน,Cost Center,"Sample 
Condition",Result,,,,,,หมายเหตุ,,
,,,,,,,,,,,,,,"Organo
phosphate",Carbamate,"Organo
chlorine",Pyrethroid,"Chloram
phenicol",Nitrofuran,,,
70,C.070/01,C.260107/01,260107/01,5/1/2026,7/1/2026,7-ม.ค.-26,71000414,เซอเลอรี่,SN เฟรช,ร.260105,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
71,C.071/01,C.260107/02,260107/02,6/1/2026,7/1/2026,7-ม.ค.-26,71000238,แครอทไทยปอกเปลือก,SPK,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
72,C.072/01,C.260107/02,260107/03,6/1/2026,7/1/2026,7-ม.ค.-26,71000236,หอมใหญ่ตัดแต่ง,SPK,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
73,C.073/01,C.260107/03,260107/04,6/1/2026,7/1/2026,7-ม.ค.-26,71017012,มันแกว,DK กรีนลีฟ,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
74,C.074/01,C.260107/03,260107/05,6/1/2026,7/1/2026,7-ม.ค.-26,71006013,ขิงสด,สิงหราช,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
75,C.075/01,C.260107/03,260107/06,6/1/2026,7/1/2026,7-ม.ค.-26,71001015,รากผักชี,สิงหราช,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
76,C.076/01,C.260107/03,260107/07,6/1/2026,7/1/2026,7-ม.ค.-26,71030009,พริกชี้ฟ้าแดงผ่า,สิงหราช,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
77,C.077/01,C.260107/03,260107/08,6/1/2026,7/1/2026,7-ม.ค.-26,71008009,พริกชี้ฟ้าแดง,สิงหราช,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
78,C.078/01,C.260107/03,260107/09,6/1/2026,7/1/2026,7-ม.ค.-26,71000007,กระเทียม,นพดา,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
79,C.079/01,C.260107/03,260107/10,6/1/2026,7/1/2026,7-ม.ค.-26,71000277,สลัดคอส,XXL,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
80,C.080/01,C.260107/03,260107/11,6/1/2026,7/1/2026,7-ม.ค.-26,71000290,กรีนโอ๊ค,XXL,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
81,C.081/01,C.260107/03,260107/12,6/1/2026,7/1/2026,7-ม.ค.-26,71000296,ฟิลเลย์,XXL,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
82,C.082/01,C.260107/03,260107/13,6/1/2026,7/1/2026,7-ม.ค.-26,71000414,เซอเลอรี่,SN เฟรช,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
83,C.083/01,C.260107/03,260107/14,6/1/2026,7/1/2026,7-ม.ค.-26,71000231,หอมใหญ่,PDS,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
84,C.084/01,C.260107/03,260107/15,6/1/2026,7/1/2026,7-ม.ค.-26,71000236,หอมใหญ่ตัดแต่ง,PDS,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
85,C.085/01,C.260107/04,260107/16,6/1/2026,7/1/2026,7-ม.ค.-26,71000238,แครอทไทยปอกเปลือก,PDS,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
86,C.086/01,C.260107/04,260107/17,6/1/2026,7/1/2026,7-ม.ค.-26,71000386,ฟักทองหั่นชิ้น,คิงส์วิช,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
87,C.087/01,C.260107/04,260107/18,6/1/2026,7/1/2026,7-ม.ค.-26,71004036,กระเทียมกลีบใหญ่ ,CP แอ็กซ์ตร้า,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
88,C.088/01,C.260107/04,260107/19,6/1/2026,7/1/2026,7-ม.ค.-26,71011005,หอมใหญ่,CP แอ็กซ์ตร้า,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
89,C.089/01,C.260107/04,260107/20,6/1/2026,7/1/2026,7-ม.ค.-26,71000337,หอมแขก,CP แอ็กซ์ตร้า,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
90,C.090/01,C.260107/04,260107/21,6/1/2026,7/1/2026,7-ม.ค.-26,71000042,มะเขือเทศท้อ,CP แอ็กซ์ตร้า,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
91,C.091/01,C.260107/04,260107/22,6/1/2026,7/1/2026,7-ม.ค.-26,71004008,ต้นหอม,ทวีทรัพย์,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
92,C.092/01,C.260107/04,260107/23,6/1/2026,7/1/2026,7-ม.ค.-26,71001015,รากผักชี,ทวีทรัพย์,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
93,C.093/01,C.260107/04,260107/24,6/1/2026,7/1/2026,7-ม.ค.-26,71010015,ใบผักชี,ทวีทรัพย์,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
94,C.094/01,C.260107/04,260107/25,6/1/2026,7/1/2026,7-ม.ค.-26,71000010,พริกขี้หนูแดง,ทวีทรัพย์,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
95,C.095/01,C.260107/04,260107/26,6/1/2026,7/1/2026,7-ม.ค.-26,71012017,ผักชีฝรั่ง,ทวีทรัพย์,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
96,C.096/01,C.260107/05,260107/27,6/1/2026,7/1/2026,7-ม.ค.-26,71000383,ฟักทองปอกเปลือก,เฟรชลี่,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
97,C.097/01,C.260107/05,260107/28,6/1/2026,7/1/2026,7-ม.ค.-26,71017012,มันแกว,นิภาพร,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
98,C.098/01,C.260107/05,260107/29,6/1/2026,7/1/2026,7-ม.ค.-26,71000039,ข่าอ่อน,นิภาพร,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
99,C.099/01,C.260107/05,260107/30,6/1/2026,7/1/2026,7-ม.ค.-26,71000002,เผือกหอม,นิภาพร,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
100,C.0100/01,C.260107/05,260107/31,6/1/2026,7/1/2026,7-ม.ค.-26,71004008,ต้นหอม,นิภาพร,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
101,C.0101/01,C.260107/05,260107/32,6/1/2026,7/1/2026,7-ม.ค.-26,71000053,คะน้า,นิภาพร,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
102,C.0102/01,C.260107/05,260107/33,6/1/2026,7/1/2026,7-ม.ค.-26,71001020,กะเพราเกษตร,นิภาพร,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
103,C.0103/01,C.260107/05,260107/34,6/1/2026,7/1/2026,7-ม.ค.-26,71012017,ผักชีฝรั่ง,นิภาพร,ร.260106,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
104,C.0104/01,C.260108/01,260108/01,7/1/2026,8/1/2026,8-ม.ค.-26,71006013,ขิงสด,สิงหราช,ร.260107,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
105,C.0105/01,C.260108/01,260108/02,7/1/2026,8/1/2026,8-ม.ค.-26,71001015,รากผักชี,สิงหราช,ร.260107,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
106,C.0106/01,C.260108/01,260108/03,7/1/2026,8/1/2026,8-ม.ค.-26,71030009,พริกชี้ฟ้าแดงผ่า,สิงหราช,ร.260107,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
107,C.0107/01,C.260108/01,260108/04,7/1/2026,8/1/2026,8-ม.ค.-26,71000053,คะน้า,คิงส์วิช,ร.260107,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
108,C.0108/01,C.260108/01,260108/05,7/1/2026,8/1/2026,8-ม.ค.-26,71000370,มะละกอดิบ,คิงส์วิช,ร.260107,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
109,C.0109/01,C.260108/01,260108/06,7/1/2026,8/1/2026,8-ม.ค.-26,71000021,มะนาว,คิงส์วิช,ร.260107,QA RM,500253,Sealed plastic bag,Not Detect,Not Detect,Not Detect,Not Detect,,,,,
